update,NAND count,EQU count
571,1,0
572,1,0
573,1,0
574,1,0
575,1,0
576,1,0
577,1,0
578,1,0
579,1,0
580,1,0
581,1,0
582,1,0
583,1,0
584,1,0
585,1,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,1,0
593,1,0
594,1,0
595,1,0
596,1,0
597,0,0
598,0,0
599,0,0
600,0,0
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,1,0
607,1,0
608,0,0
609,0,0
610,0,0
611,0,0
612,0,0
613,0,0
614,0,0
615,0,0
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,0,0
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,0,0
633,0,0
634,0,0
635,0,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,0
664,0,0
665,0,0
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,1,0
683,1,0
684,1,0
685,1,0
686,2,0
687,2,0
688,2,0
689,2,0
690,2,0
691,2,0
692,2,0
693,1,0
694,1,0
695,2,0
696,2,0
697,2,0
698,1,0
699,1,0
700,1,0
701,1,0
702,1,0
703,1,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,1,0
720,2,0
721,2,0
722,2,0
723,2,0
724,2,0
725,2,0
726,2,0
727,2,0
728,2,0
729,2,0
730,2,0
731,2,0
732,2,0
733,2,0
734,2,0
735,1,0
736,1,0
737,1,0
738,1,0
739,1,0
740,1,0
741,1,0
742,1,0
743,1,0
744,1,0
745,1,0
746,1,0
747,1,0
748,1,0
749,1,0
750,1,0
751,1,0
752,1,0
753,1,0
754,1,0
755,1,0
756,2,0
757,2,0
758,2,0
759,1,0
760,1,0
761,1,0
762,0,0
763,0,0
764,0,0
765,1,0
766,1,0
767,1,0
768,1,0
769,1,0
770,1,0
771,1,0
772,1,0
773,1,0
774,1,0
775,1,0
776,1,0
777,1,0
778,1,0
779,1,0
780,1,0
781,1,0
782,1,0
783,1,0
784,0,0
785,0,0
786,0,0
787,0,0
788,1,0
789,1,0
790,1,0
791,1,0
792,1,0
793,1,0
794,1,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,1,0
834,1,0
835,1,0
836,1,0
837,1,0
838,1,0
839,1,0
840,1,0
841,1,0
842,1,0
843,1,0
844,1,0
845,1,0
846,1,0
847,1,0
848,1,0
849,1,0
850,1,0
851,1,0
852,1,0
853,1,0
854,1,0
855,1,0
856,1,0
857,1,0
858,1,0
859,1,0
860,1,0
861,1,0
862,1,0
863,1,0
864,1,0
865,1,0
866,1,0
867,1,0
868,1,0
869,1,0
870,1,0
871,1,0
872,1,0
873,1,0
874,1,0
875,1,0
876,1,0
877,1,0
878,1,0
879,1,0
880,1,0
881,1,0
882,1,0
883,1,0
884,1,0
885,2,0
886,2,0
887,2,0
888,2,0
889,2,0
890,1,0
891,1,0
892,1,0
893,1,0
894,1,0
895,2,0
896,2,0
897,2,0
898,3,0
899,3,0
900,3,0
901,3,0
902,3,0
903,3,0
904,3,0
905,2,0
906,2,0
907,2,0
908,2,0
909,2,0
910,2,0
911,1,0
912,1,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,1,0
939,1,0
940,1,0
941,1,0
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
950,0,0
951,0,0
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0
962,0,0
963,0,0
964,0,0
965,0,0
966,0,0
967,0,0
968,0,0
969,0,0
970,0,0
971,0,0
972,0,0
973,0,0
974,0,0
975,1,0
976,1,0
977,1,0
978,0,0
979,0,0
980,0,0
981,0,0
982,0,0
983,0,0
984,0,0
985,0,0
986,0,0
987,0,0
988,0,0
989,0,0
990,0,0
991,0,0
992,0,0
993,0,0
994,0,0
995,0,0
996,0,0
997,0,0
998,0,0
999,0,0
1000,1,0
1001,1,0
1002,1,0
1003,1,0
1004,1,0
1005,1,0
1006,1,0
1007,1,0
1008,0,0
1009,0,0
1010,0,0
1011,0,0
1012,0,0
1013,0,0
1014,0,0
1015,0,0
1016,0,0
1017,0,0
1018,0,0
1019,0,0
1020,0,0
1021,0,0
1022,0,0
1023,0,0
1024,0,0
1025,0,0
1026,0,0
1027,0,0
1028,0,0
1029,0,0
1030,1,0
1031,1,0
1032,1,0
1033,1,0
1034,1,0
1035,2,0
1036,3,0
1037,3,0
1038,3,0
1039,3,0
1040,3,0
1041,3,0
1042,3,0
1043,3,0
1044,3,0
1045,3,0
1046,3,0
1047,3,0
1048,3,0
1049,3,0
1050,3,0
1051,2,0
1052,2,0
1053,2,0
1054,2,0
1055,2,0
1056,2,0
1057,2,0
1058,2,0
1059,2,0
1060,2,0
1061,2,0
1062,2,0
1063,1,0
1064,1,0
1065,0,0
1066,1,0
1067,1,0
1068,1,0
1069,1,0
1070,2,0
1071,2,0
1072,1,0
1073,1,0
1074,1,0
1075,2,0
1076,2,0
1077,2,0
1078,2,0
1079,2,0
1080,1,0
1081,0,0
1082,0,0
1083,1,0
1084,1,0
1085,1,0
1086,1,0
1087,1,0
1088,1,0
1089,1,0
1090,1,0
1091,1,0
1092,1,0
1093,1,0
1094,1,0
1095,0,0
1096,0,0
1097,0,0
1098,0,0
1099,0,0
1100,0,0
1101,0,0
1102,0,0
1103,0,0
1104,0,0
1105,0,0
1106,0,0
1107,0,0
1108,0,0
1109,0,0
1110,0,0
1111,0,0
1112,0,0
1113,0,0
1114,0,0
1115,0,0
1116,1,0
1117,1,0
1118,1,0
1119,2,0
1120,2,0
1121,2,0
1122,2,0
1123,2,0
1124,3,0
1125,3,0
1126,3,0
1127,3,0
1128,2,0
1129,2,0
1130,2,0
1131,2,0
1132,3,0
1133,3,0
1134,3,0
1135,3,0
1136,3,0
1137,3,0
1138,3,0
1139,3,0
1140,3,0
1141,3,0
1142,3,0
1143,3,0
1144,2,0
1145,1,0
1146,1,0
1147,1,0
1148,1,0
1149,1,0
1150,1,0
1151,1,0
1152,1,0
1153,1,0
1154,1,0
1155,1,0
1156,1,0
1157,1,0
1158,1,0
1159,1,0
1160,1,0
1161,1,0
1162,1,0
1163,2,0
1164,2,0
1165,2,0
1166,2,0
1167,2,0
1168,3,0
1169,3,0
1170,4,0
1171,4,0
1172,3,0
1173,2,0
1174,2,0
1175,2,0
1176,2,0
1177,2,0
1178,3,0
1179,3,0
1180,3,0
1181,2,0
1182,2,0
1183,2,0
1184,2,0
1185,2,0
1186,1,0
1187,1,0
1188,1,0
1189,1,0
1190,1,0
1191,1,0
1192,1,0
1193,1,0
1194,1,0
1195,1,0
1196,1,0
1197,1,0
1198,1,0
1199,1,0
1200,1,0
1201,1,0
1202,1,0
1203,1,0
1204,1,0
1205,1,0
1206,0,0
1207,0,0
1208,0,0
1209,0,0
1210,0,0
1211,0,0
1212,0,0
1213,0,0
1214,0,0
1215,0,0
1216,0,0
1217,0,0
1218,0,0
1219,0,0
1220,0,0
1221,0,0
1222,0,0
1223,0,0
1224,0,0
1225,0,0
1226,0,0
1227,1,0
1228,1,0
1229,1,0
1230,1,0
1231,1,0
1232,1,0
1233,1,0
1234,0,0
1235,0,0
1236,0,0
1237,0,0
1238,0,0
1239,0,0
1240,0,0
1241,0,0
1242,0,0
1243,0,0
1244,0,0
1245,0,0
1246,0,0
1247,1,0
1248,2,0
1249,2,0
1250,2,0
1251,2,0
1252,2,0
1253,2,0
1254,2,0
1255,2,0
1256,2,0
1257,2,0
1258,2,0
1259,2,0
1260,2,0
1261,3,0
1262,3,0
1263,3,0
1264,3,0
1265,3,0
1266,2,0
1267,2,0
1268,2,0
1269,2,0
1270,2,0
1271,2,0
1272,2,0
1273,2,0
1274,1,0
1275,1,0
1276,1,0
1277,1,0
1278,1,0
1279,1,0
1280,1,0
1281,1,0
1282,1,0
1283,1,0
1284,1,0
1285,1,0
1286,1,0
1287,1,0
1288,1,0
1289,1,0
1290,1,0
1291,2,0
1292,2,0
1293,2,0
1294,2,0
1295,2,0
1296,3,0
1297,3,0
1298,3,0
1299,3,0
1300,3,0
1301,2,0
1302,2,0
1303,2,0
1304,2,0
1305,1,0
1306,1,0
1307,1,0
1308,1,0
1309,1,0
1310,1,0
1311,1,0
1312,1,0
1313,1,0
1314,1,0
1315,2,0
1316,2,0
1317,1,0
1318,1,0
1319,1,0
1320,1,0
1321,2,0
1322,2,0
1323,2,0
1324,2,0
1325,2,0
1326,2,0
1327,2,0
1328,2,0
1329,2,0
1330,2,0
1331,2,0
1332,1,0
1333,1,0
1334,1,0
1335,1,0
1336,1,0
1337,1,0
1338,1,0
1339,1,0
1340,2,0
1341,2,0
1342,2,0
1343,2,0
1344,2,0
1345,2,0
1346,2,0
1347,2,0
1348,2,0
1349,2,0
1350,2,0
1351,2,0
1352,2,0
1353,2,0
1354,2,0
1355,2,0
1356,2,0
1357,0,0
1358,0,0
1359,0,0
1360,0,0
1361,0,0
1362,0,0
1363,0,0
1364,0,0
1365,0,0
1366,0,0
1367,0,0
1368,0,0
1369,0,0
1370,0,0
1371,0,0
1372,0,0
1373,0,0
1374,0,0
1375,0,0
1376,0,0
1377,0,0
1378,0,0
1379,0,0
1380,1,0
1381,1,0
1382,1,0
1383,1,0
1384,1,0
1385,1,0
1386,1,0
1387,1,0
1388,1,0
1389,1,0
1390,1,0
1391,1,0
1392,1,0
1393,1,0
1394,1,0
1395,2,0
1396,2,0
1397,2,0
1398,2,0
1399,2,0
1400,2,0
1401,2,0
1402,3,0
1403,3,0
1404,3,0
1405,4,0
1406,4,0
1407,4,0
1408,4,0
1409,4,0
1410,5,0
1411,5,0
1412,5,0
1413,4,0
1414,4,0
1415,4,0
1416,5,0
1417,5,0
1418,5,0
1419,4,0
1420,4,0
1421,3,0
1422,3,0
1423,3,0
1424,3,0
1425,3,0
1426,3,0
1427,3,0
1428,3,0
1429,3,0
1430,3,0
1431,3,0
1432,3,0
1433,3,0
1434,3,0
1435,3,0
1436,3,0
1437,2,0
1438,2,0
1439,1,0
1440,1,0
1441,1,0
1442,2,0
1443,2,0
1444,2,0
1445,2,0
1446,2,0
1447,1,0
1448,1,0
1449,1,0
1450,1,0
1451,1,0
1452,1,0
1453,1,0
1454,1,0
1455,1,0
1456,0,0
1457,0,0
1458,0,0
1459,0,0
1460,0,0
1461,0,0
1462,0,0
1463,0,0
1464,0,0
1465,0,0
1466,0,0
1467,0,0
1468,0,0
1469,0,0
1470,0,0
1471,0,0
1472,0,0
1473,0,0
1474,0,0
1475,0,0
1476,0,0
1477,0,0
1478,0,0
1479,0,0
1480,0,0
1481,0,0
1482,0,0
1483,0,0
1484,0,0
1485,1,0
1486,1,0
1487,1,0
1488,1,0
1489,1,0
1490,1,0
1491,0,0
1492,0,0
1493,0,0
1494,0,0
1495,0,0
1496,0,0
1497,0,0
1498,0,0
1499,0,0
1500,0,0
1501,0,0
1502,0,0
1503,0,0
1504,0,0
1505,0,0
1506,0,0
1507,0,0
1508,0,0
1509,0,0
1510,0,0
1511,0,0
1512,0,0
1513,0,0
1514,1,0
1515,1,0
1516,1,0
1517,1,0
1518,1,0
1519,1,0
1520,2,0
1521,1,0
1522,1,0
1523,1,0
1524,0,0
1525,0,0
1526,0,0
1527,0,0
1528,0,0
1529,0,0
1530,0,0
1531,0,0
1532,1,0
1533,1,0
1534,1,0
1535,1,0
1536,1,0
1537,1,0
1538,1,0
1539,1,0
1540,1,0
1541,1,0
1542,1,0
1543,1,0
1544,1,0
1545,1,0
1546,1,0
1547,1,0
1548,1,0
1549,1,0
1550,1,0
1551,1,0
1552,1,0
1553,1,0
1554,0,0
1555,0,0
1556,0,0
1557,0,0
1558,1,0
1559,1,0
1560,1,0
1561,1,0
1562,1,0
1563,1,0
1564,1,0
1565,1,0
1566,1,0
1567,1,0
1568,1,0
1569,1,0
1570,1,0
1571,1,0
1572,1,0
1573,1,0
1574,1,0
1575,1,0
1576,1,0
1577,1,0
1578,1,0
1579,1,0
1580,1,0
1581,1,0
1582,1,0
1583,1,0
1584,1,0
1585,1,0
1586,1,0
1587,1,0
1588,1,0
1589,0,0
1590,0,0
1591,0,0
1592,0,0
1593,0,0
1594,0,0
1595,0,0
1596,1,0
1597,1,0
1598,1,0
1599,1,0
1600,1,0
1601,1,0
1602,1,0
1603,1,0
1604,1,0
1605,1,0
1606,1,0
1607,1,0
1608,1,0
1609,1,0
1610,1,0
1611,1,0
1612,1,0
1613,1,0
1614,1,0
1615,1,0
1616,1,0
1617,1,0
1618,2,0
1619,1,0
1620,1,0
1621,1,0
1622,1,0
1623,1,0
1624,0,0
1625,0,0
1626,0,0
1627,0,0
1628,0,0
1629,0,0
1630,0,0
1631,0,0
1632,0,0
1633,0,0
1634,0,0
1635,0,0
1636,0,0
1637,0,0
1638,0,0
1639,0,0
1640,0,0
1641,0,0
1642,1,0
1643,2,0
1644,2,0
1645,2,0
1646,3,0
1647,3,0
1648,3,0
1649,3,0
1650,3,0
1651,3,0
1652,3,0
1653,3,0
1654,3,0
1655,3,0
1656,3,0
1657,3,0
1658,3,0
1659,3,0
1660,3,0
1661,3,0
1662,3,0
1663,3,0
1664,2,0
1665,1,0
1666,0,0
1667,0,0
1668,0,0
1669,0,0
1670,0,0
1671,0,0
1672,0,0
1673,0,0
1674,0,0
1675,0,0
1676,0,0
1677,0,0
1678,0,0
1679,0,0
1680,0,0
1681,0,0
1682,0,0
1683,1,0
1684,1,0
1685,1,0
1686,1,0
1687,1,0
1688,1,0
1689,0,0
1690,0,0
1691,0,0
1692,0,0
1693,0,0
1694,0,0
1695,0,0
1696,0,0
1697,0,0
1698,0,0
1699,0,0
1700,0,0
1701,0,0
1702,0,0
1703,1,0
1704,1,0
1705,1,0
1706,1,0
1707,1,0
1708,1,0
1709,1,0
1710,1,0
1711,1,0
1712,1,0
1713,1,0
1714,2,0
1715,2,0
1716,2,0
1717,2,0
1718,2,0
1719,2,0
1720,2,0
1721,2,0
1722,1,0
1723,0,0
1724,0,0
1725,0,0
1726,0,0
1727,0,0
1728,0,0
1729,0,0
1730,0,0
1731,0,0
1732,0,0
1733,0,0
1734,0,0
1735,0,0
1736,0,0
1737,0,0
1738,0,0
1739,0,0
1740,0,0
1741,0,0
1742,0,0
1743,0,0
1744,0,0
1745,0,0
1746,0,0
1747,0,0
1748,0,0
1749,0,0
1750,0,0
1751,0,0
1752,0,0
1753,0,0
1754,0,0
1755,0,0
1756,0,0
1757,0,0
1758,0,0
1759,0,0
1760,0,0
1761,0,0
1762,0,0
1763,0,0
1764,0,0
1765,0,0
1766,0,0
1767,0,0
1768,0,0
1769,0,0
1770,0,0
1771,0,0
1772,0,0
1773,0,0
1774,0,0
1775,0,0
1776,0,0
1777,0,0
1778,0,0
1779,0,0
1780,0,0
1781,0,0
1782,0,0
1783,0,0
1784,0,0
1785,0,0
1786,0,0
1787,0,0
1788,0,0
1789,0,0
1790,0,0
1791,0,0
1792,0,0
1793,0,0
1794,0,0
1795,0,0
1796,0,0
1797,0,0
1798,0,0
1799,0,0
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,1,0
1881,1,0
1882,2,0
1883,2,0
1884,1,0
1885,1,0
1886,1,0
1887,1,0
1888,1,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,1,0
1921,1,0
1922,1,0
1923,1,0
1924,1,0
1925,1,0
1926,1,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,1,0
1944,1,0
1945,1,0
1946,1,0
1947,1,0
1948,1,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,1,0
1969,1,0
1970,1,0
1971,1,0
1972,1,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,1,0
1981,1,0
1982,1,0
1983,2,0
1984,2,0
1985,2,0
1986,2,0
1987,2,0
1988,2,0
1989,2,0
1990,2,0
1991,2,0
1992,2,0
1993,2,0
1994,2,0
1995,2,0
1996,2,0
1997,2,0
1998,2,0
1999,2,0
2000,1,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,1,0
2020,1,0
2021,1,0
2022,1,0
2023,1,0
2024,1,0
2025,1,0
2026,1,0
2027,1,0
2028,1,0
2029,1,0
2030,1,0
2031,1,0
2032,1,0
2033,2,0
2034,2,0
2035,2,0
2036,2,0
2037,2,0
2038,1,0
2039,1,0
2040,1,0
2041,1,0
2042,1,0
2043,1,0
2044,1,0
2045,1,0
2046,1,0
2047,1,0
2048,2,0
2049,2,0
2050,2,0
2051,2,0
2052,2,0
2053,2,0
2054,2,0
2055,2,0
2056,2,0
2057,2,0
2058,2,0
2059,2,0
2060,2,0
2061,3,0
2062,3,0
2063,3,0
2064,2,0
2065,2,0
2066,2,0
2067,2,0
2068,2,0
2069,2,0
2070,2,0
2071,2,0
2072,2,0
2073,2,0
2074,2,0
2075,2,0
2076,3,0
2077,2,0
2078,2,0
2079,2,0
2080,2,0
2081,1,0
2082,1,0
2083,1,0
2084,1,0
2085,2,0
2086,2,0
2087,2,0
2088,2,0
2089,1,0
2090,1,0
2091,1,0
2092,1,0
2093,1,0
2094,1,0
2095,1,0
2096,1,0
2097,1,0
2098,1,0
2099,1,0
2100,1,0
2101,1,0
2102,1,0
2103,1,0
2104,1,0
2105,1,0
2106,1,0
2107,1,0
2108,1,0
2109,2,0
2110,2,0
2111,2,0
2112,2,0
2113,2,0
2114,2,0
2115,1,0
2116,1,0
2117,0,0
2118,0,0
2119,0,0
2120,0,0
2121,0,0
2122,0,0
2123,0,0
2124,0,0
2125,0,0
2126,0,0
2127,0,0
2128,0,0
2129,0,0
2130,0,0
2131,0,0
2132,0,0
2133,0,0
2134,0,0
2135,0,0
2136,0,0
2137,0,0
2138,0,0
